source language,target language,translation engine,is preferred engine?
af,vi,Content Translation,True
af,wuu,Content Translation,True
af,xh,Content Translation,True
af,yi,Content Translation,True
af,yo,Content Translation,True
af,yue,Content Translation,True
af,zh,Content Translation,True
af,zu,Content Translation,True
am,af,Content Translation,True
am,ar,Content Translation,True
am,arz,Content Translation,True
am,as,Content Translation,True
am,ay,Content Translation,True
am,az,Content Translation,True
am,be,Content Translation,True
am,bg,Content Translation,True
am,bho,Content Translation,True
am,bm,Content Translation,True
am,bn,Content Translation,True
am,bs,Content Translation,True
am,ca,Content Translation,True
am,ceb,Content Translation,True
am,ckb,Content Translation,True
am,co,Content Translation,True
am,cs,Content Translation,True
am,cy,Content Translation,True
am,da,Content Translation,True
am,de,Content Translation,True
am,dv,Content Translation,True
am,ee,Content Translation,True
am,el,Content Translation,True
am,en,Content Translation,True
am,eo,Content Translation,True
am,es,Content Translation,True
am,et,Content Translation,True
am,eu,Content Translation,True
am,fa,Content Translation,True
am,fi,Content Translation,True
am,fr,Content Translation,True
am,fy,Content Translation,True
am,ga,Content Translation,True
am,gan,Content Translation,True
am,gd,Content Translation,True
am,gl,Content Translation,True
am,gn,Content Translation,True
am,gom,Content Translation,True
am,gu,Content Translation,True
am,ha,Content Translation,True
am,haw,Content Translation,True
am,he,Content Translation,True
am,hi,Content Translation,True
am,hr,Content Translation,True
am,ht,Content Translation,True
am,hu,Content Translation,True
am,hy,Content Translation,True
am,id,Content Translation,True
am,ig,Content Translation,True
am,ilo,Content Translation,True
am,is,Content Translation,True
am,it,Content Translation,True
am,ja,Content Translation,True
am,jv,Content Translation,True
am,ka,Content Translation,True
am,kk,Content Translation,True
am,km,Content Translation,True
am,kn,Content Translation,True
am,ko,Content Translation,True
am,ku,Content Translation,True
am,ky,Content Translation,True
am,la,Content Translation,True
am,lb,Content Translation,True
am,lg,Content Translation,True
am,ln,Content Translation,True
am,lo,Content Translation,True
am,lt,Content Translation,True
am,lv,Content Translation,True
am,mai,Content Translation,True
am,mg,Content Translation,True
am,mi,Content Translation,True
am,mk,Content Translation,True
am,ml,Content Translation,True
am,mn,Content Translation,True
am,mni,Content Translation,True
am,mr,Content Translation,True
am,ms,Content Translation,True
am,mt,Content Translation,True
am,my,Content Translation,True
am,ne,Content Translation,True
am,nl,Content Translation,True
am,False,Content Translation,True
am,nso,Content Translation,True
am,ny,Content Translation,True
am,om,Content Translation,True
am,or,Content Translation,True
am,pa,Content Translation,True
am,pl,Content Translation,True
am,ps,Content Translation,True
am,pt,Content Translation,True
am,qu,Content Translation,True
am,ro,Content Translation,True
am,ru,Content Translation,True
am,rw,Content Translation,True
am,sa,Content Translation,True
am,sd,Content Translation,True
am,sh,Content Translation,True
am,si,Content Translation,True
am,simple,Content Translation,True
am,sk,Content Translation,True
am,sl,Content Translation,True
am,sm,Content Translation,True
am,sn,Content Translation,True
am,so,Content Translation,True
am,sq,Content Translation,True
am,sr,Content Translation,True
am,st,Content Translation,True
am,su,Content Translation,True
am,sv,Content Translation,True
am,sw,Content Translation,True
am,ta,Content Translation,True
am,te,Content Translation,True
am,tg,Content Translation,True
am,th,Content Translation,True
am,ti,Content Translation,True
am,tk,Content Translation,True
am,tl,Content Translation,True
am,tr,Content Translation,True
am,ts,Content Translation,True
am,tt,Content Translation,True
am,tw,Content Translation,True
am,ug,Content Translation,True
am,uk,Content Translation,True
am,ur,Content Translation,True
am,uz,Content Translation,True
am,vi,Content Translation,True
am,wuu,Content Translation,True
am,xh,Content Translation,True
am,yi,Content Translation,True
am,yo,Content Translation,True
am,yue,Content Translation,True
am,zh,Content Translation,True
am,zu,Content Translation,True
ar,af,Content Translation,True
ar,am,Content Translation,True
ar,arz,Content Translation,True
ar,as,Content Translation,True
ar,ay,Content Translation,True
ar,az,Content Translation,True
ar,be,Content Translation,True
ar,bg,Content Translation,True
ar,bho,Content Translation,True
ar,bm,Content Translation,True
ar,bn,Content Translation,True
ar,bs,Content Translation,True
ar,ca,Content Translation,True
ar,ceb,Content Translation,True
ar,ckb,Content Translation,True
ar,co,Content Translation,True
ar,cs,Content Translation,True
ar,cy,Content Translation,True
ar,da,Content Translation,True
ar,de,Content Translation,True
ar,dv,Content Translation,True
ar,ee,Content Translation,True
ar,el,Content Translation,True
ar,en,Content Translation,True
ar,eo,Content Translation,True
ar,es,Content Translation,True
ar,et,Content Translation,True
ar,eu,Content Translation,True
ar,fa,Content Translation,True
ar,fi,Content Translation,True
ar,fr,Content Translation,True
ar,fy,Content Translation,True
ar,ga,Content Translation,True
ar,gan,Content Translation,True
ar,gd,Content Translation,True
ar,gl,Content Translation,True
ar,gn,Content Translation,True
ar,gom,Content Translation,True
ar,gu,Content Translation,True
ar,ha,Content Translation,True
ar,haw,Content Translation,True
ar,he,Content Translation,True
ar,hi,Content Translation,True
ar,hr,Content Translation,True
ar,ht,Content Translation,True
ar,hu,Content Translation,True
ar,hy,Content Translation,True
ar,id,Content Translation,True
ar,ig,Content Translation,True
ar,ilo,Content Translation,True
ar,is,Content Translation,True
ar,it,Content Translation,True
ar,ja,Content Translation,True
ar,jv,Content Translation,True
ar,ka,Content Translation,True
ar,kk,Content Translation,True
ar,km,Content Translation,True
ar,kn,Content Translation,True
ar,ko,Content Translation,True
ar,ku,Content Translation,True
ar,ky,Content Translation,True
ar,la,Content Translation,True
ar,lb,Content Translation,True
ar,lg,Content Translation,True
ar,ln,Content Translation,True
ar,lo,Content Translation,True
ar,lt,Content Translation,True
ar,lv,Content Translation,True
ar,mai,Content Translation,True
ar,mg,Content Translation,True
ar,mi,Content Translation,True
ar,mk,Content Translation,True
ar,ml,Content Translation,True
ar,mn,Content Translation,True
ar,mni,Content Translation,True
ar,mr,Content Translation,True
ar,ms,Content Translation,True
ar,mt,Content Translation,True
ar,my,Content Translation,True
ar,ne,Content Translation,True
ar,nl,Content Translation,True
ar,False,Content Translation,True
ar,nso,Content Translation,True
ar,ny,Content Translation,True
ar,om,Content Translation,True
ar,or,Content Translation,True
ar,pa,Content Translation,True
ar,pl,Content Translation,True
ar,ps,Content Translation,True
ar,pt,Content Translation,True
ar,qu,Content Translation,True
ar,ro,Content Translation,True
ar,ru,Content Translation,True
ar,rw,Content Translation,True
ar,sa,Content Translation,True
ar,sd,Content Translation,True
ar,sh,Content Translation,True
ar,si,Content Translation,True
ar,simple,Content Translation,True
ar,sk,Content Translation,True
ar,sl,Content Translation,True
ar,sm,Content Translation,True
ar,sn,Content Translation,True
ar,so,Content Translation,True
ar,sq,Content Translation,True
ar,sr,Content Translation,True
ar,st,Content Translation,True
ar,su,Content Translation,True
ar,sv,Content Translation,True
ar,sw,Content Translation,True
ar,ta,Content Translation,True
ar,te,Content Translation,True
ar,tg,Content Translation,True
ar,th,Content Translation,True
ar,ti,Content Translation,True
ar,tk,Content Translation,True
ar,tl,Content Translation,True
ar,tr,Content Translation,True
ar,ts,Content Translation,True
ar,tt,Content Translation,True
ar,tw,Content Translation,True
ar,ug,Content Translation,True
ar,uk,Content Translation,True
ar,ur,Content Translation,True
ar,uz,Content Translation,True
ar,vi,Content Translation,True
ar,wuu,Content Translation,True
ar,xh,Content Translation,True
ar,yi,Content Translation,True
ar,yo,Content Translation,True
ar,yue,Content Translation,True
ar,zh,Content Translation,True
ar,zu,Content Translation,True
arz,af,Content Translation,True
arz,am,Content Translation,True
arz,ar,Content Translation,True
arz,as,Content Translation,True
arz,ay,Content Translation,True
arz,az,Content Translation,True
arz,be,Content Translation,True
arz,bg,Content Translation,True
arz,bho,Content Translation,True
arz,bm,Content Translation,True
arz,bn,Content Translation,True
arz,bs,Content Translation,True
arz,ca,Content Translation,True
arz,ceb,Content Translation,True
arz,ckb,Content Translation,True
arz,co,Content Translation,True
arz,cs,Content Translation,True
arz,cy,Content Translation,True
arz,da,Content Translation,True
arz,de,Content Translation,True
arz,dv,Content Translation,True
arz,ee,Content Translation,True
arz,el,Content Translation,True
arz,en,Content Translation,True
arz,eo,Content Translation,True
arz,es,Content Translation,True
arz,et,Content Translation,True
arz,eu,Content Translation,True
arz,fa,Content Translation,True
arz,fi,Content Translation,True
arz,fr,Content Translation,True
arz,fy,Content Translation,True
arz,ga,Content Translation,True
arz,gan,Content Translation,True
arz,gd,Content Translation,True
arz,gl,Content Translation,True
arz,gn,Content Translation,True
arz,gom,Content Translation,True
arz,gu,Content Translation,True
arz,ha,Content Translation,True
arz,haw,Content Translation,True
arz,he,Content Translation,True
arz,hi,Content Translation,True
arz,hr,Content Translation,True
arz,ht,Content Translation,True
arz,hu,Content Translation,True
arz,hy,Content Translation,True
arz,id,Content Translation,True
arz,ig,Content Translation,True
arz,ilo,Content Translation,True
arz,is,Content Translation,True
arz,it,Content Translation,True
arz,ja,Content Translation,True
arz,jv,Content Translation,True
arz,ka,Content Translation,True
arz,kk,Content Translation,True
arz,km,Content Translation,True
arz,kn,Content Translation,True
arz,ko,Content Translation,True
arz,ku,Content Translation,True
arz,ky,Content Translation,True
arz,la,Content Translation,True
arz,lb,Content Translation,True
arz,lg,Content Translation,True
arz,ln,Content Translation,True
arz,lo,Content Translation,True
arz,lt,Content Translation,True
arz,lv,Content Translation,True
arz,mai,Content Translation,True
arz,mg,Content Translation,True
arz,mi,Content Translation,True
arz,mk,Content Translation,True
arz,ml,Content Translation,True
arz,mn,Content Translation,True
arz,mni,Content Translation,True
arz,mr,Content Translation,True
arz,ms,Content Translation,True
arz,mt,Content Translation,True
arz,my,Content Translation,True
arz,ne,Content Translation,True
arz,nl,Content Translation,True
arz,False,Content Translation,True
arz,nso,Content Translation,True
arz,ny,Content Translation,True
arz,om,Content Translation,True
arz,or,Content Translation,True
arz,pa,Content Translation,True
arz,pl,Content Translation,True
arz,ps,Content Translation,True
arz,pt,Content Translation,True
arz,qu,Content Translation,True
arz,ro,Content Translation,True
arz,ru,Content Translation,True
arz,rw,Content Translation,True
arz,sa,Content Translation,True
arz,sd,Content Translation,True
arz,sh,Content Translation,True
arz,si,Content Translation,True
arz,simple,Content Translation,True
arz,sk,Content Translation,True
arz,sl,Content Translation,True
arz,sm,Content Translation,True
arz,sn,Content Translation,True
arz,so,Content Translation,True
arz,sq,Content Translation,True
arz,sr,Content Translation,True
arz,st,Content Translation,True
arz,su,Content Translation,True
arz,sv,Content Translation,True
arz,sw,Content Translation,True
arz,ta,Content Translation,True
arz,te,Content Translation,True
arz,tg,Content Translation,True
arz,th,Content Translation,True
arz,ti,Content Translation,True
arz,tk,Content Translation,True
arz,tl,Content Translation,True
arz,tr,Content Translation,True
arz,ts,Content Translation,True
arz,tt,Content Translation,True
arz,tw,Content Translation,True
arz,ug,Content Translation,True
arz,uk,Content Translation,True
arz,ur,Content Translation,True
arz,uz,Content Translation,True
arz,vi,Content Translation,True
arz,wuu,Content Translation,True
arz,xh,Content Translation,True
arz,yi,Content Translation,True
arz,yo,Content Translation,True
arz,yue,Content Translation,True
arz,zh,Content Translation,True
arz,zu,Content Translation,True
as,af,Content Translation,True
as,am,Content Translation,True
as,ar,Content Translation,True
as,arz,Content Translation,True
as,ay,Content Translation,True
as,az,Content Translation,True
as,be,Content Translation,True
as,bg,Content Translation,True
as,bho,Content Translation,True
as,bm,Content Translation,True
as,bn,Content Translation,True
as,bs,Content Translation,True
as,ca,Content Translation,True
as,ceb,Content Translation,True
as,ckb,Content Translation,True
as,co,Content Translation,True
as,cs,Content Translation,True
as,cy,Content Translation,True
as,da,Content Translation,True
as,de,Content Translation,True
as,dv,Content Translation,True
as,ee,Content Translation,True
as,el,Content Translation,True
as,en,Content Translation,True
as,eo,Content Translation,True
as,es,Content Translation,True
as,et,Content Translation,True
as,eu,Content Translation,True
as,fa,Content Translation,True
as,fi,Content Translation,True
as,fr,Content Translation,True
as,fy,Content Translation,True
as,ga,Content Translation,True
as,gan,Content Translation,True
as,gd,Content Translation,True
as,gl,Content Translation,True
as,gn,Content Translation,True
as,gom,Content Translation,True
as,gu,Content Translation,True
as,ha,Content Translation,True
as,haw,Content Translation,True
as,he,Content Translation,True
as,hi,Content Translation,True
as,hr,Content Translation,True
as,ht,Content Translation,True
as,hu,Content Translation,True
as,hy,Content Translation,True
as,id,Content Translation,True
as,ig,Content Translation,True
as,ilo,Content Translation,True
as,is,Content Translation,True
as,it,Content Translation,True
as,ja,Content Translation,True
as,jv,Content Translation,True
as,ka,Content Translation,True
as,kk,Content Translation,True
as,km,Content Translation,True
as,kn,Content Translation,True
as,ko,Content Translation,True
as,ku,Content Translation,True
as,ky,Content Translation,True
as,la,Content Translation,True
as,lb,Content Translation,True
as,lg,Content Translation,True
as,ln,Content Translation,True
as,lo,Content Translation,True
as,lt,Content Translation,True
as,lv,Content Translation,True
as,mai,Content Translation,True
as,mg,Content Translation,True
as,mi,Content Translation,True
as,mk,Content Translation,True
as,ml,Content Translation,True
as,mn,Content Translation,True
as,mni,Content Translation,True
as,mr,Content Translation,True
as,ms,Content Translation,True
as,mt,Content Translation,True
as,my,Content Translation,True
as,ne,Content Translation,True
as,nl,Content Translation,True
as,False,Content Translation,True
as,nso,Content Translation,True
as,ny,Content Translation,True
as,om,Content Translation,True
as,or,Content Translation,True
as,pa,Content Translation,True
as,pl,Content Translation,True
as,ps,Content Translation,True
as,pt,Content Translation,True
as,qu,Content Translation,True
as,ro,Content Translation,True
as,ru,Content Translation,True
as,rw,Content Translation,True
as,sa,Content Translation,True
as,sd,Content Translation,True
as,sh,Content Translation,True
as,si,Content Translation,True
as,simple,Content Translation,True
as,sk,Content Translation,True
as,sl,Content Translation,True
as,sm,Content Translation,True
as,sn,Content Translation,True
as,so,Content Translation,True
as,sq,Content Translation,True
as,sr,Content Translation,True
as,st,Content Translation,True
as,su,Content Translation,True
as,sv,Content Translation,True
as,sw,Content Translation,True
as,ta,Content Translation,True
as,te,Content Translation,True
as,tg,Content Translation,True
as,th,Content Translation,True
as,ti,Content Translation,True
as,tk,Content Translation,True
as,tl,Content Translation,True
as,tr,Content Translation,True
as,ts,Content Translation,True
as,tt,Content Translation,True
as,tw,Content Translation,True
as,ug,Content Translation,True
as,uk,Content Translation,True
as,ur,Content Translation,True
as,uz,Content Translation,True
as,vi,Content Translation,True
as,wuu,Content Translation,True
as,xh,Content Translation,True
as,yi,Content Translation,True
as,yo,Content Translation,True
as,yue,Content Translation,True
as,zh,Content Translation,True
as,zu,Content Translation,True
ay,af,Content Translation,True
ay,am,Content Translation,True
ay,ar,Content Translation,True
ay,arz,Content Translation,True
ay,as,Content Translation,True
ay,az,Content Translation,True
ay,be,Content Translation,True
ay,bg,Content Translation,True
ay,bho,Content Translation,True
ay,bm,Content Translation,True
ay,bn,Content Translation,True
ay,bs,Content Translation,True
ay,ca,Content Translation,True
ay,ceb,Content Translation,True
ay,ckb,Content Translation,True
ay,co,Content Translation,True
ay,cs,Content Translation,True
ay,cy,Content Translation,True
ay,da,Content Translation,True
ay,de,Content Translation,True
ay,dv,Content Translation,True
ay,ee,Content Translation,True
ay,el,Content Translation,True
ay,en,Content Translation,True
ay,eo,Content Translation,True
ay,es,Content Translation,True
ay,et,Content Translation,True
ay,eu,Content Translation,True
ay,fa,Content Translation,True
ay,fi,Content Translation,True
ay,fr,Content Translation,True
ay,fy,Content Translation,True
ay,ga,Content Translation,True
ay,gan,Content Translation,True
ay,gd,Content Translation,True
ay,gl,Content Translation,True
ay,gn,Content Translation,True
ay,gom,Content Translation,True
ay,gu,Content Translation,True
ay,ha,Content Translation,True
ay,haw,Content Translation,True
ay,he,Content Translation,True
ay,hi,Content Translation,True
ay,hr,Content Translation,True
ay,ht,Content Translation,True
ay,hu,Content Translation,True
ay,hy,Content Translation,True
ay,id,Content Translation,True
ay,ig,Content Translation,True
ay,ilo,Content Translation,True
ay,is,Content Translation,True
ay,it,Content Translation,True
ay,ja,Content Translation,True
ay,jv,Content Translation,True
ay,ka,Content Translation,True
ay,kk,Content Translation,True
ay,km,Content Translation,True
ay,kn,Content Translation,True
ay,ko,Content Translation,True
ay,ku,Content Translation,True
ay,ky,Content Translation,True
ay,la,Content Translation,True
ay,lb,Content Translation,True
ay,lg,Content Translation,True
ay,ln,Content Translation,True
ay,lo,Content Translation,True
ay,lt,Content Translation,True
ay,lv,Content Translation,True
ay,mai,Content Translation,True
ay,mg,Content Translation,True
ay,mi,Content Translation,True
ay,mk,Content Translation,True
ay,ml,Content Translation,True
ay,mn,Content Translation,True
ay,mni,Content Translation,True
ay,mr,Content Translation,True
ay,ms,Content Translation,True
ay,mt,Content Translation,True
ay,my,Content Translation,True
ay,ne,Content Translation,True
ay,nl,Content Translation,True
ay,False,Content Translation,True
ay,nso,Content Translation,True
ay,ny,Content Translation,True
ay,om,Content Translation,True
ay,or,Content Translation,True
ay,pa,Content Translation,True
ay,pl,Content Translation,True
ay,ps,Content Translation,True
ay,pt,Content Translation,True
ay,qu,Content Translation,True
ay,ro,Content Translation,True
ay,ru,Content Translation,True
ay,rw,Content Translation,True
ay,sa,Content Translation,True
ay,sd,Content Translation,True
ay,sh,Content Translation,True
ay,si,Content Translation,True
ay,simple,Content Translation,True
ay,sk,Content Translation,True
ay,sl,Content Translation,True
ay,sm,Content Translation,True
ay,sn,Content Translation,True
ay,so,Content Translation,True
ay,sq,Content Translation,True
ay,sr,Content Translation,True
ay,st,Content Translation,True
ay,su,Content Translation,True
ay,sv,Content Translation,True
ay,sw,Content Translation,True
ay,ta,Content Translation,True
ay,te,Content Translation,True
ay,tg,Content Translation,True
ay,th,Content Translation,True
ay,ti,Content Translation,True
ay,tk,Content Translation,True
ay,tl,Content Translation,True
ay,tr,Content Translation,True
ay,ts,Content Translation,True
ay,tt,Content Translation,True
ay,tw,Content Translation,True
ay,ug,Content Translation,True
ay,uk,Content Translation,True
ay,ur,Content Translation,True
ay,uz,Content Translation,True
ay,vi,Content Translation,True
ay,wuu,Content Translation,True
ay,xh,Content Translation,True
ay,yi,Content Translation,True
ay,yo,Content Translation,True
ay,yue,Content Translation,True
ay,zh,Content Translation,True
ay,zu,Content Translation,True
az,af,Content Translation,True
az,am,Content Translation,True
az,ar,Content Translation,True
az,arz,Content Translation,True
az,as,Content Translation,True
az,ay,Content Translation,True
az,be,Content Translation,True
az,bg,Content Translation,True
az,bho,Content Translation,True
az,bm,Content Translation,True
az,bn,Content Translation,True
az,bs,Content Translation,True
az,ca,Content Translation,True
az,ceb,Content Translation,True
az,ckb,Content Translation,True
az,co,Content Translation,True
az,cs,Content Translation,True
az,cy,Content Translation,True
az,da,Content Translation,True
az,de,Content Translation,True
az,dv,Content Translation,True
az,ee,Content Translation,True
az,el,Content Translation,True
az,en,Content Translation,True
az,eo,Content Translation,True
az,es,Content Translation,True
az,et,Content Translation,True
az,eu,Content Translation,True
az,fa,Content Translation,True
az,fi,Content Translation,True
az,fr,Content Translation,True
az,fy,Content Translation,True
az,ga,Content Translation,True
az,gan,Content Translation,True
az,gd,Content Translation,True
az,gl,Content Translation,True
az,gn,Content Translation,True
az,gom,Content Translation,True
az,gu,Content Translation,True
az,ha,Content Translation,True
az,haw,Content Translation,True
az,he,Content Translation,True
az,hi,Content Translation,True
az,hr,Content Translation,True
az,ht,Content Translation,True
az,hu,Content Translation,True
az,hy,Content Translation,True
az,id,Content Translation,True
az,ig,Content Translation,True
az,ilo,Content Translation,True
az,is,Content Translation,True
az,it,Content Translation,True
az,ja,Content Translation,True
az,jv,Content Translation,True
az,ka,Content Translation,True
az,kk,Content Translation,True
az,km,Content Translation,True
az,kn,Content Translation,True
az,ko,Content Translation,True
az,ku,Content Translation,True
az,ky,Content Translation,True
az,la,Content Translation,True
az,lb,Content Translation,True
az,lg,Content Translation,True
az,ln,Content Translation,True
az,lo,Content Translation,True
az,lt,Content Translation,True
az,lv,Content Translation,True
az,mai,Content Translation,True
az,mg,Content Translation,True
az,mi,Content Translation,True
az,mk,Content Translation,True
az,ml,Content Translation,True
az,mn,Content Translation,True
az,mni,Content Translation,True
az,mr,Content Translation,True
az,ms,Content Translation,True
az,mt,Content Translation,True
az,my,Content Translation,True
az,ne,Content Translation,True
az,nl,Content Translation,True
az,False,Content Translation,True
az,nso,Content Translation,True
az,ny,Content Translation,True
az,om,Content Translation,True
az,or,Content Translation,True
az,pa,Content Translation,True
az,pl,Content Translation,True
az,ps,Content Translation,True
az,pt,Content Translation,True
az,qu,Content Translation,True
az,ro,Content Translation,True
az,ru,Content Translation,True
az,rw,Content Translation,True
az,sa,Content Translation,True
az,sd,Content Translation,True
az,sh,Content Translation,True
az,si,Content Translation,True
az,simple,Content Translation,True
az,sk,Content Translation,True
az,sl,Content Translation,True
az,sm,Content Translation,True
az,sn,Content Translation,True
az,so,Content Translation,True
az,sq,Content Translation,True
az,sr,Content Translation,True
az,st,Content Translation,True
az,su,Content Translation,True
az,sv,Content Translation,True
az,sw,Content Translation,True
az,ta,Content Translation,True
az,te,Content Translation,True
az,tg,Content Translation,True
az,th,Content Translation,True
az,ti,Content Translation,True
az,tk,Content Translation,True
az,tl,Content Translation,True
az,tr,Content Translation,True
az,ts,Content Translation,True
az,tt,Content Translation,True
az,tw,Content Translation,True
az,ug,Content Translation,True
az,uk,Content Translation,True
az,ur,Content Translation,True
az,uz,Content Translation,True
az,vi,Content Translation,True
az,wuu,Content Translation,True
az,xh,Content Translation,True
az,yi,Content Translation,True
az,yo,Content Translation,True
az,yue,Content Translation,True
az,zh,Content Translation,True
az,zu,Content Translation,True
be,af,Content Translation,True
be,am,Content Translation,True
be,ar,Content Translation,True
be,arz,Content Translation,True
be,as,Content Translation,True
be,ay,Content Translation,True
be,az,Content Translation,True
be,bg,Content Translation,True
be,bho,Content Translation,True
be,bm,Content Translation,True
be,bn,Content Translation,True
be,bs,Content Translation,True
be,ca,Content Translation,True
be,ceb,Content Translation,True
be,ckb,Content Translation,True
be,co,Content Translation,True
be,cs,Content Translation,True
be,cy,Content Translation,True
be,da,Content Translation,True
be,de,Content Translation,True
be,dv,Content Translation,True
be,ee,Content Translation,True
be,el,Content Translation,True
be,en,Content Translation,True
be,eo,Content Translation,True
be,es,Content Translation,True
be,et,Content Translation,True
be,eu,Content Translation,True
be,fa,Content Translation,True
be,fi,Content Translation,True
be,fr,Content Translation,True
be,fy,Content Translation,True
be,ga,Content Translation,True
be,gan,Content Translation,True
be,gd,Content Translation,True
be,gl,Content Translation,True
be,gn,Content Translation,True
be,gom,Content Translation,True
be,gu,Content Translation,True
be,ha,Content Translation,True
be,haw,Content Translation,True
be,he,Content Translation,True
be,hi,Content Translation,True
be,hr,Content Translation,True
be,ht,Content Translation,True
be,hu,Content Translation,True
be,hy,Content Translation,True
be,id,Content Translation,True
be,ig,Content Translation,True
be,ilo,Content Translation,True
be,is,Content Translation,True
be,it,Content Translation,True
be,ja,Content Translation,True
be,jv,Content Translation,True
be,ka,Content Translation,True
be,kk,Content Translation,True
be,km,Content Translation,True
be,kn,Content Translation,True
be,ko,Content Translation,True
be,ku,Content Translation,True
be,ky,Content Translation,True
be,la,Content Translation,True
be,lb,Content Translation,True
be,lg,Content Translation,True
be,ln,Content Translation,True
be,lo,Content Translation,True
be,lt,Content Translation,True
be,lv,Content Translation,True
be,mai,Content Translation,True
be,mg,Content Translation,True
be,mi,Content Translation,True
be,mk,Content Translation,True
be,ml,Content Translation,True
be,mn,Content Translation,True
be,mni,Content Translation,True
be,mr,Content Translation,True
be,ms,Content Translation,True
be,mt,Content Translation,True
be,my,Content Translation,True
be,ne,Content Translation,True
be,nl,Content Translation,True
be,False,Content Translation,True
be,nso,Content Translation,True
be,ny,Content Translation,True
be,om,Content Translation,True
be,or,Content Translation,True
be,pa,Content Translation,True
be,pl,Content Translation,True
be,ps,Content Translation,True
be,pt,Content Translation,True
be,qu,Content Translation,True
be,ro,Content Translation,True
be,ru,Content Translation,True
be,rw,Content Translation,True
be,sa,Content Translation,True
be,sd,Content Translation,True
be,sh,Content Translation,True
be,si,Content Translation,True
be,simple,Content Translation,True
be,sk,Content Translation,True
